Date,rate_GE,rate_VOO,Sector,rate_UPS
2022-01-03,0.0,0.0,Industrials,0.0
2022-01-04,1.62,-0.02,Industrials,0.87
2022-01-05,1.62,-0.97,Industrials,0.24
2022-01-06,1.92,-1.04,Industrials,0.72
2022-01-07,2.67,-1.21,Industrials,1.07
2022-01-10,1.65,-1.27,Industrials,-0.41
2022-01-11,3.47,-0.63,Industrials,-0.57
2022-01-12,3.81,-0.4,Industrials,-0.59
2022-01-13,3.98,-1.43,Industrials,-0.85
2022-01-14,4.52,-1.41,Industrials,-2.21
2022-01-18,4.31,-2.7,Industrials,-2.55
2022-01-19,2.57,-3.45,Industrials,-3.18
2022-01-20,0.75,-4.24,Industrials,-3.69
2022-01-21,-0.75,-5.63,Industrials,-3.81
2022-01-24,-0.28,-5.34,Industrials,-3.05
2022-01-25,-5.48,-6.33,Industrials,-3.95
2022-01-26,-7.08,-6.51,Industrials,-5.16
2022-01-27,-6.56,-6.91,Industrials,-6.88
2022-01-28,-4.59,-4.96,Industrials,-5.47
2022-01-31,-2.46,-3.46,Industrials,-3.84
2022-02-01,0.86,-2.79,Industrials,8.43
2022-02-02,0.94,-1.97,Industrials,9.03
2022-02-03,1.2,-4.0,Industrials,7.57
2022-02-04,1.85,-3.6,Industrials,5.91
2022-02-07,2.68,-3.88,Industrials,6.02
2022-02-08,2.1,-3.15,Industrials,6.09
2022-02-09,2.04,-1.81,Industrials,6.03
2022-02-10,1.59,-3.44,Industrials,4.07
2022-02-11,-0.33,-5.24,Industrials,0.85
2022-02-14,-0.55,-5.53,Industrials,1.08
2022-02-15,3.78,-4.08,Industrials,2.58
2022-02-16,4.27,-3.98,Industrials,1.68
2022-02-17,1.31,-5.93,Industrials,-0.43
2022-02-18,-4.47,-6.5,Industrials,-1.05
2022-02-22,-3.01,-7.48,Industrials,-1.23
2022-02-23,-4.51,-9.06,Industrials,-3.29
2022-02-24,-4.62,-7.73,Industrials,-2.04
2022-02-25,-0.78,-5.81,Industrials,-0.78
2022-02-28,-1.65,-6.04,Industrials,-0.56
2022-03-01,-4.73,-7.18,Industrials,-2.72
2022-03-02,-2.93,-5.58,Industrials,-0.08
2022-03-03,-4.61,-6.03,Industrials,0.36
2022-03-04,-7.87,-6.74,Industrials,-0.56
