Date,rate_CMCSA_5D,rate_CMCSA_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.392,,-0.648,
2022-01-10,-0.43600000000000005,,-0.9019999999999999,
2022-01-11,-0.188,,-1.024,
2022-01-12,-0.002000000000000013,,-0.9099999999999999,
2022-01-13,0.22599999999999998,,-0.9879999999999999,
2022-01-14,0.662,,-1.028,
2022-01-18,0.5619999999999999,,-1.314,
2022-01-19,0.322,,-1.8780000000000001,
2022-01-20,0.10599999999999998,,-2.646,
2022-01-21,-0.352,,-3.4859999999999998,
2022-01-24,-0.828,,-4.272,
2022-01-25,-0.998,,-4.998,
2022-01-26,-1.6300000000000001,,-5.609999999999999,
2022-01-27,-2.386,,-6.144,
2022-01-28,-2.406,,-6.01,
2022-01-31,-2.434,-0.748,-5.634,-2.8954999999999997
2022-02-01,-2.336,-0.8019999999999999,-4.926,-3.035
2022-02-02,-1.802,-0.8245000000000001,-4.018,-3.1325
2022-02-03,-1.238,-0.8800000000000001,-3.436,-3.284
2022-02-04,-1.3760000000000001,-0.977,-3.164,-3.4120000000000004
2022-02-07,-1.7760000000000002,-1.0939999999999999,-3.2479999999999998,-3.5454999999999997
2022-02-08,-2.0300000000000002,-1.2005000000000001,-3.3200000000000003,-3.6395000000000004
2022-02-09,-2.092,-1.3005,-3.2879999999999994,-3.6985000000000006
2022-02-10,-2.3480000000000003,-1.4665000000000001,-3.1759999999999997,-3.8505000000000003
2022-02-11,-2.9859999999999998,-1.78,-3.504,-4.0409999999999995
2022-02-14,-3.536,-2.1435000000000004,-3.8340000000000005,-4.247
2022-02-15,-3.968,-2.333,-4.0200000000000005,-4.316
2022-02-16,-4.596,-2.5300000000000002,-4.454,-4.3425
2022-02-17,-5.414,-2.8465,-4.952,-4.427
2022-02-18,-5.792,-3.1399999999999997,-5.204,-4.4704999999999995
2022-02-22,-5.9719999999999995,-3.4295,-5.593999999999999,-4.5775
2022-02-23,-7.103999999999999,-3.8594999999999997,-6.590000000000001,-4.714
2022-02-24,-7.909999999999999,-4.1,-7.340000000000001,-4.775
2022-02-25,-7.794,-4.1985,-7.316,-4.720000000000001
2022-02-28,-7.746,-4.475,-7.224000000000001,-4.774
2022-03-01,-7.914,-4.7995,-7.164,-4.96
2022-03-02,-7.384,-5.1215,-6.467999999999999,-5.099500000000001
2022-03-03,-6.914,-5.378,-6.128,-5.3025
2022-03-04,-6.822,-5.5945,-6.314,-5.439500000000001
2022-03-07,-6.956,-5.87,-6.9719999999999995,-5.726
2022-03-08,-7.056,-6.1195,-7.531999999999999,-6.031000000000001
2022-03-09,-7.1579999999999995,-6.403499999999999,-7.954000000000001,-6.258
2022-03-10,-7.824,-6.811,-8.366,-6.572
2022-03-11,-8.668,-7.174499999999999,-8.86,-6.8605
2022-03-14,-9.184,-7.419500000000001,-8.962,-7.0905000000000005
2022-03-15,-9.41,-7.587999999999999,-8.55,-7.210000000000001
2022-03-16,-9.36,-7.7515,-8.196000000000002,-7.302000000000001
2022-03-17,-8.928,-7.894,-7.537999999999999,-7.343000000000001
2022-03-18,-8.182,-7.8665,-6.45,-7.235000000000001
2022-03-21,-7.514,-7.85,-5.236,-7.0985
2022-03-22,-6.852000000000001,-7.808000000000002,-4.188,-6.858499999999999
2022-03-23,-6.7379999999999995,-7.659999999999999,-3.7840000000000003,-6.600500000000001
2022-03-24,-6.612,-7.5695,-3.3899999999999997,-6.3555
2022-03-25,-6.524000000000001,-7.5489999999999995,-3.106,-6.182499999999999
2022-03-28,-6.182,-7.4590000000000005,-2.69,-5.965000000000001
