Date,rate_COST,rate_COST_5D,rate_COST_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,-0.22,,,-0.02,,
2022-01-05,-1.48,,,-0.97,,
2022-01-06,-1.49,,,-1.04,,
2022-01-07,-2.69,-1.176,,-1.21,-0.648,
2022-01-10,-4.22,-2.02,,-1.27,-0.9019999999999999,
2022-01-11,-3.79,-2.7339999999999995,,-0.63,-1.024,
2022-01-12,-3.28,-3.0940000000000003,,-0.4,-0.9099999999999999,
2022-01-13,-4.48,-3.692,,-1.43,-0.9879999999999999,
2022-01-14,-6.34,-4.422,,-1.41,-1.028,
2022-01-18,-8.34,-5.246,,-2.7,-1.314,
2022-01-19,-8.06,-6.1,,-3.45,-1.8780000000000001,
2022-01-20,-9.05,-7.2540000000000004,,-4.24,-2.646,
2022-01-21,-9.21,-8.2,,-5.63,-3.4859999999999998,
2022-01-24,-8.23,-8.578,,-5.34,-4.272,
2022-01-25,-10.08,-8.926,,-6.33,-4.998,
2022-01-26,-9.1,-9.134,,-6.51,-5.609999999999999,
2022-01-27,-9.25,-9.174000000000001,,-6.91,-6.144,
2022-01-28,-7.67,-8.866,,-4.96,-6.01,
2022-01-31,-5.65,-8.35,-5.6315,-3.46,-5.634,-2.8954999999999997
2022-02-01,-4.92,-7.3180000000000005,-5.8774999999999995,-2.79,-4.926,-3.035
2022-02-02,-2.66,-6.029999999999999,-5.9995,-1.97,-4.018,-3.1325
2022-02-03,-2.7,-4.72,-6.060499999999999,-4.0,-3.436,-3.284
2022-02-04,-3.03,-3.7920000000000003,-6.1375,-3.6,-3.164,-3.4120000000000004
2022-02-07,-3.68,-3.3980000000000006,-6.187,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-2.76,-2.966,-6.114,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.42,-2.718,-5.9955,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-3.22,-2.822,-5.9925,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-4.76,-3.168,-6.0065,-5.24,-3.504,-4.0409999999999995
2022-02-14,-5.31,-3.4939999999999998,-5.955,-5.53,-3.8340000000000005,-4.247
2022-02-15,-3.99,-3.7399999999999998,-5.7375,-4.08,-4.0200000000000005,-4.316
2022-02-16,-4.26,-4.308000000000001,-5.5475,-3.98,-4.454,-4.3425
2022-02-17,-3.8,-4.4239999999999995,-5.285,-5.93,-4.952,-4.427
2022-02-18,-4.21,-4.314,-5.035,-6.5,-5.204,-4.4704999999999995
2022-02-22,-6.09,-4.47,-4.927999999999999,-7.48,-5.593999999999999,-4.5775
2022-02-23,-7.33,-5.138,-4.7905,-9.06,-6.590000000000001,-4.714
2022-02-24,-5.48,-5.382,-4.6095,-7.73,-7.340000000000001,-4.775
2022-02-25,-3.35,-5.292,-4.314500000000001,-5.81,-7.316,-4.720000000000001
2022-02-28,-3.04,-5.058000000000001,-4.083,-6.04,-7.224000000000001,-4.774
2022-03-01,-2.31,-4.3020000000000005,-3.9159999999999995,-7.18,-7.164,-4.96
2022-03-02,-1.43,-3.122,-3.7415000000000007,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-0.55,-2.136,-3.636,-6.03,-6.128,-5.3025
2022-03-04,-1.86,-1.8379999999999999,-3.5940000000000003,-6.74,-6.314,-5.439500000000001
2022-03-07,-1.34,-1.498,-3.5095000000000005,-9.33,-6.9719999999999995,-5.726
2022-03-08,-2.25,-1.486,-3.438,-9.98,-7.531999999999999,-6.031000000000001
