Date,rate_CSX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,76.69
2019-03-01,11.58,6.13,5.45,86.68
2019-04-29,21.64,10.74,10.9,96.67
2019-06-25,15.6,9.75,5.85,87.41
2019-08-21,-0.11,9.45,-9.56,59.18
2019-10-17,5.65,11.38,-5.73,66.2
2019-12-13,9.79,17.31,-7.52,62.92
2020-02-12,19.26,23.26,-4.0,69.37
2020-04-09,-3.68,5.35,-9.03,60.15
2020-06-08,11.75,21.76,-10.01,58.35
2020-08-04,6.04,23.27,-17.23,45.13
2020-09-30,12.96,22.35,-9.39,59.49
2020-11-25,33.29,30.73,2.56,81.39
2021-01-26,24.44,37.01,-12.57,53.66
2021-03-24,33.89,38.04,-4.15,69.09
2021-05-20,38.34,45.0,-6.66,64.49
2021-07-19,28.96,46.79,-17.83,44.03
2021-09-14,26.44,49.47,-23.03,34.5
2021-11-09,46.11,55.69,-9.58,59.14
2022-01-06,53.96,54.19,-0.23,76.27
2022-03-07,49.84,37.12,12.72,100.0
2022-05-03,38.66,34.96,3.7,83.47
2022-06-30,16.33,22.0,-5.67,66.31
2022-08-26,29.85,30.79,-0.94,74.97
2022-10-24,13.01,22.72,-9.71,58.9
2022-12-20,22.74,22.59,0.15,76.97
2023-02-17,24.01,30.41,-6.4,64.97
2023-04-18,20.33,31.87,-11.54,55.55
2023-06-14,30.22,38.27,-8.05,61.95
2023-08-11,23.36,40.92,-17.56,44.52
2023-10-09,24.83,35.51,-10.68,57.13
2023-12-05,33.07,42.24,-9.17,59.89
2024-02-02,44.33,52.79,-8.46,61.19
2024-04-02,43.23,59.09,-15.86,47.64
2024-05-29,30.08,60.75,-30.67,20.5
2024-07-26,33.66,64.89,-31.23,19.48
