Date,rate_ETN_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,7.04
2019-03-01,9.62,6.13,3.49,9.07
2019-04-29,12.83,10.74,2.09,8.26
2019-06-25,10.2,9.75,0.45,7.3
2019-08-21,5.62,9.45,-3.83,4.81
2019-10-17,8.52,11.38,-2.86,5.37
2019-12-13,23.68,17.31,6.37,10.75
2020-02-12,36.04,23.26,12.78,14.49
2020-04-09,6.3,5.35,0.95,7.59
2020-06-08,24.37,21.76,2.61,8.56
2020-08-04,22.36,23.27,-0.91,6.51
2020-09-30,27.97,22.35,5.62,10.32
2020-11-25,49.52,30.73,18.79,18.0
2021-01-26,46.75,37.01,9.74,12.72
2021-03-24,61.34,38.04,23.3,20.63
2021-05-20,69.97,45.0,24.97,21.6
2021-07-19,75.08,46.79,28.29,23.54
2021-09-14,73.97,49.47,24.5,21.33
2021-11-09,91.81,55.69,36.12,28.1
2022-01-06,83.53,54.19,29.34,24.15
2022-03-07,56.15,37.12,19.03,18.14
2022-05-03,55.36,34.96,20.4,18.94
2022-06-30,32.98,22.0,10.98,13.44
2022-08-26,49.86,30.79,19.07,18.16
2022-10-24,49.92,22.72,27.2,22.9
2022-12-20,63.38,22.59,40.79,30.83
2023-02-17,81.73,30.41,51.32,36.97
2023-04-18,67.99,31.87,36.12,28.1
2023-06-14,95.96,38.27,57.69,40.68
2023-08-11,120.09,40.92,79.17,53.21
2023-10-09,109.58,35.51,74.07,50.24
2023-12-05,118.99,42.24,76.75,51.8
2024-02-02,158.7,52.79,105.91,68.81
2024-04-02,197.15,59.09,138.06,87.55
2024-05-29,213.63,60.75,152.88,96.2
2024-07-26,176.79,64.89,111.9,72.3
