Date,rate_IONQ_5D,rate_VOO_20D
2022-01-03,0.0,0.0
2022-01-18,-12.31,0.0
2022-02-01,-24.36,-3.04
2022-02-15,7.7,-4.32
2022-03-02,3.39,-5.1
2022-03-16,-14.61,-7.3
2022-03-30,-10.58,-5.41
2022-04-13,-19.97,-3.03
2022-04-28,-40.5,-4.98
2022-05-12,-64.0,-9.02
2022-05-26,-59.29,-12.49
2022-06-10,-59.09,-12.17
2022-06-27,-62.13,-14.14
2022-07-12,-62.4,-16.79
2022-07-26,-60.64,-15.34
2022-08-09,-52.01,-12.26
2022-08-23,-47.15,-8.9
2022-09-07,-53.04,-9.36
2022-09-21,-54.38,-11.36
2022-10-05,-54.11,-14.52
2022-10-19,-55.96,-17.53
2022-11-02,-50.76,-16.09
2022-11-16,-49.46,-13.43
2022-12-01,-55.33,-11.13
2022-12-15,-60.31,-9.83
2022-12-30,-69.27,-11.67
2023-01-17,-60.13,-12.34
2023-01-31,-56.35,-10.26
2023-02-14,-50.47,-7.79
2023-03-01,-52.39,-7.29
2023-03-15,-50.92,-8.8
2023-03-29,-48.84,-9.21
2023-04-13,-29.03,-7.53
2023-04-27,-39.0,-5.71
2023-05-11,-29.96,-5.37
2023-05-25,8.07,-5.01
2023-06-09,8.07,-3.5
2023-06-26,2.4,-0.91
2023-07-11,46.4,0.86
2023-07-25,58.97,2.49
2023-08-08,79.78,3.88
2023-08-22,52.18,3.12
2023-09-06,81.52,2.57
2023-09-20,61.23,2.76
2023-10-04,44.81,0.69
2023-10-18,40.95,-0.8
2023-11-01,-3.17,-1.87
2023-11-15,15.6,-1.15
2023-11-30,19.98,2.83
2023-12-14,31.69,5.31
2023-12-29,28.38,7.34
2024-01-16,13.46,8.53
2024-01-30,7.23,9.57
2024-02-13,5.99,11.57
2024-02-28,8.06,13.21
2024-03-13,-1.03,14.81
2024-03-27,-8.7,16.22
2024-04-11,-17.84,16.61
2024-04-25,-24.19,14.76
2024-05-09,-12.52,13.91
2024-05-23,-15.96,16.46
2024-06-07,-23.25,18.41
2024-06-24,-31.13,20.04
2024-07-09,-26.23,21.96
2024-07-23,-19.86,23.1
