Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-2.35,,-0.648,
2022-01-10,-3.304,,-0.9019999999999999,
2022-01-11,-4.004,,-1.024,
2022-01-12,-4.5600000000000005,,-0.9099999999999999,
2022-01-13,-5.328,,-0.9879999999999999,
2022-01-14,-6.054,,-1.028,
2022-01-18,-7.337999999999999,,-1.314,
2022-01-19,-8.816,,-1.8780000000000001,
2022-01-20,-10.118,,-2.646,
2022-01-21,-11.986,,-3.4859999999999998,
2022-01-24,-13.516,,-4.272,
2022-01-25,-14.930000000000001,,-4.998,
2022-01-26,-16.240000000000002,,-5.609999999999999,
2022-01-27,-17.606,,-6.144,
2022-01-28,-17.509999999999998,,-6.01,
2022-01-31,-16.876,-9.699,-5.634,-2.8954999999999997
2022-02-01,-15.626000000000001,-10.2995,-4.926,-3.035
2022-02-02,-14.041999999999998,-10.7755,-4.018,-3.1325
2022-02-03,-12.77,-11.263499999999999,-3.436,-3.284
2022-02-04,-11.959999999999999,-11.696,-3.164,-3.4120000000000004
2022-02-07,-11.84,-12.0715,-3.2479999999999998,-3.5454999999999997
2022-02-08,-12.014,-12.477,-3.3200000000000003,-3.6395000000000004
2022-02-09,-12.032,-12.7825,-3.2879999999999994,-3.6985000000000006
2022-02-10,-11.632,-13.0315,-3.1759999999999997,-3.8505000000000003
2022-02-11,-11.778,-13.3085,-3.504,-4.0409999999999995
2022-02-14,-11.994,-13.5565,-3.8340000000000005,-4.247
2022-02-15,-11.64,-13.5525,-4.0200000000000005,-4.316
2022-02-16,-11.684000000000001,-13.499500000000001,-4.454,-4.3425
2022-02-17,-12.164,-13.543000000000001,-4.952,-4.427
2022-02-18,-12.302,-13.3875,-5.204,-4.4704999999999995
2022-02-22,-12.132000000000001,-13.2105,-5.593999999999999,-4.5775
2022-02-23,-12.892,-13.043000000000001,-6.590000000000001,-4.714
2022-02-24,-13.054000000000002,-12.703,-7.340000000000001,-4.775
2022-02-25,-12.494,-12.265,-7.316,-4.720000000000001
2022-02-28,-11.928,-11.992,-7.224000000000001,-4.774
2022-03-01,-11.416,-11.8455,-7.164,-4.96
2022-03-02,-10.024000000000001,-11.6425,-6.467999999999999,-5.099500000000001
2022-03-03,-9.290000000000001,-11.515,-6.128,-5.3025
2022-03-04,-8.718,-11.252,-6.314,-5.439500000000001
2022-03-07,-8.514,-11.130500000000001,-6.9719999999999995,-5.726
2022-03-08,-9.848,-11.3475,-7.531999999999999,-6.031000000000001
2022-03-09,-11.046,-11.4005,-7.954000000000001,-6.258
2022-03-10,-12.478,-11.6265,-8.366,-6.572
2022-03-11,-14.174000000000001,-11.8875,-8.86,-6.8605
2022-03-14,-15.904,-12.161999999999999,-8.962,-7.0905000000000005
2022-03-15,-15.857999999999999,-12.3135,-8.55,-7.210000000000001
2022-03-16,-15.906,-12.467,-8.196000000000002,-7.302000000000001
2022-03-17,-15.457999999999998,-12.569999999999999,-7.537999999999999,-7.343000000000001
2022-03-18,-14.453999999999999,-12.459999999999999,-6.45,-7.235000000000001
2022-03-21,-13.272,-12.4045,-5.236,-7.0985
2022-03-22,-12.274000000000001,-12.349,-4.188,-6.858499999999999
2022-03-23,-12.434000000000001,-12.352500000000001,-3.7840000000000003,-6.600500000000001
2022-03-24,-12.547999999999998,-12.4435,-3.3899999999999997,-6.3555
2022-03-25,-12.744,-12.522499999999999,-3.106,-6.182499999999999
2022-03-28,-12.035999999999998,-12.4315,-2.69,-5.965000000000001
2022-03-29,-11.092,-12.268,-2.25,-5.63
