Date,rate_JD_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,30.59
2019-03-01,21.78,6.13,15.65,35.66
2019-04-29,25.79,10.74,15.05,35.47
2019-06-25,19.06,9.75,9.31,33.61
2019-08-21,24.09,9.45,14.64,35.34
2019-10-17,24.26,11.38,12.88,34.77
2019-12-13,35.91,17.31,18.6,36.62
2020-02-12,63.79,23.26,40.53,43.72
2020-04-09,72.82,5.35,67.47,52.45
2020-06-08,131.53,21.76,109.77,66.15
2020-08-04,146.56,23.27,123.29,70.53
2020-09-30,172.19,22.35,149.84,79.13
2020-11-25,202.97,30.73,172.24,86.38
2021-01-26,224.93,37.01,187.92,91.46
2021-03-24,158.65,38.04,120.61,69.66
2021-05-20,136.04,45.0,91.04,60.08
2021-07-19,133.09,46.79,86.3,58.55
2021-09-14,131.42,49.47,81.95,57.14
2021-11-09,125.52,55.69,69.83,53.21
2022-01-06,92.02,54.19,37.83,42.85
2022-03-07,71.41,37.12,34.29,41.7
2022-05-03,73.98,34.96,39.02,43.23
2022-06-30,78.78,22.0,56.78,48.98
2022-08-26,71.04,30.79,40.25,43.63
2022-10-24,-1.11,22.72,-23.83,22.88
2022-12-20,51.33,22.59,28.74,39.9
2023-02-17,41.41,30.41,11.0,34.16
2023-04-18,0.3,31.87,-31.57,20.37
2023-06-14,2.89,38.27,-35.38,19.14
2023-08-11,-0.06,40.92,-40.98,17.32
2023-10-09,-17.43,35.51,-52.94,13.45
2023-12-05,-25.64,42.24,-67.88,8.61
2024-02-02,-37.39,52.79,-90.18,1.39
2024-04-02,-19.42,59.09,-78.51,5.17
2024-05-29,-14.94,60.75,-75.69,6.08
2024-07-26,-22.57,64.89,-87.46,2.27
