Date,rate_KMI_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,83.22
2019-03-01,11.14,4.45,6.69,92.11
2019-04-29,11.79,7.58,4.21,88.82
2019-06-25,15.72,7.2,8.52,94.54
2019-08-21,14.69,7.24,7.45,93.12
2019-10-17,12.94,8.87,4.07,88.63
2019-12-13,13.65,13.19,0.46,83.83
2020-02-12,22.44,18.03,4.41,89.08
2020-04-09,-12.44,3.89,-16.33,61.53
2020-06-08,2.15,14.68,-12.53,66.58
2020-08-04,-17.25,16.26,-33.51,38.71
2020-09-30,-29.38,17.41,-46.79,21.07
2020-11-25,-15.29,24.05,-39.34,30.96
2021-01-26,-13.23,29.15,-42.38,26.93
2021-03-24,-7.8,30.35,-38.15,32.55
2021-05-20,6.23,36.67,-30.44,42.79
2021-07-19,-2.27,38.99,-41.26,28.41
2021-09-14,-8.81,43.6,-52.41,13.6
2021-11-09,-4.28,49.14,-53.42,12.26
2022-01-06,-3.16,49.24,-52.4,13.62
2022-03-07,6.34,37.68,-31.34,41.59
2022-05-03,6.11,36.93,-30.82,42.28
2022-06-30,-4.62,27.61,-32.23,40.41
2022-08-26,7.85,34.27,-26.42,48.13
2022-10-24,-1.71,27.92,-29.63,43.86
2022-12-20,0.13,28.33,-28.2,45.76
2023-02-17,0.8,34.71,-33.91,38.18
2023-04-18,0.64,36.36,-35.72,35.77
2023-06-14,-3.84,41.83,-45.67,22.56
2023-08-11,1.08,43.86,-42.78,26.39
2023-10-09,-4.62,40.69,-45.31,23.03
2023-12-05,-0.48,46.52,-47.0,20.79
2024-02-02,-3.5,55.53,-59.03,4.81
2024-04-02,4.66,61.42,-56.76,7.82
2024-05-29,7.4,63.18,-55.78,9.13
2024-07-26,21.15,67.5,-46.35,21.65
