Date,rate_LYFT_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-03-29,0.0,0.0,0.0,96.73
2019-04-29,-8.53,0.48,-9.01,89.24
2019-05-28,-13.38,-2.69,-10.69,87.84
2019-06-25,-2.29,1.46,-3.75,93.61
2019-07-24,-0.32,4.5,-4.82,92.72
2019-08-21,-14.71,0.67,-15.38,83.94
2019-09-19,-20.43,3.48,-23.91,76.85
2019-10-17,-28.92,2.82,-31.74,70.34
2019-11-14,-27.81,6.16,-33.97,68.48
2019-12-13,-19.09,8.59,-27.68,73.71
2020-01-14,-16.91,11.76,-28.67,72.89
2020-02-12,-15.24,14.59,-29.83,71.93
2020-03-12,-57.25,-12.94,-44.31,59.88
2020-04-09,-44.38,-1.58,-42.8,61.14
2020-05-08,-38.89,3.37,-42.26,61.59
2020-06-08,-22.7,13.93,-36.63,66.27
2020-07-07,-40.71,10.31,-51.02,54.3
2020-08-04,-41.25,15.52,-56.77,49.52
2020-09-01,-41.77,19.76,-61.53,45.56
2020-09-30,-45.7,15.76,-61.46,45.62
2020-10-28,-55.28,12.47,-67.75,40.39
2020-11-25,-19.61,24.09,-43.7,60.39
2020-12-24,-0.57,25.74,-26.31,74.85
2021-01-26,-4.49,30.21,-34.7,67.88
2021-02-24,20.38,32.36,-11.98,86.77
2021-03-24,23.7,31.32,-7.62,90.4
2021-04-22,23.29,37.68,-14.39,84.77
2021-05-20,4.9,37.92,-33.02,69.27
2021-06-18,17.74,37.62,-19.88,80.2
2021-07-19,3.85,39.71,-35.86,66.91
2021-08-16,4.63,45.27,-40.64,62.94
2021-09-14,4.0,43.4,-39.4,63.97
2021-10-12,7.62,39.93,-32.31,69.86
2021-11-09,15.21,49.81,-34.6,67.96
2021-12-08,-13.26,49.73,-62.99,44.35
2022-01-06,-10.21,48.42,-58.63,47.98
2022-02-04,-22.0,41.83,-63.83,43.65
2022-03-07,-28.23,32.19,-60.42,46.49
2022-04-04,-18.69,43.18,-61.87,45.28
2022-05-03,-35.18,30.21,-65.39,42.35
2022-06-01,-62.84,27.74,-90.58,21.41
2022-06-30,-71.07,17.77,-88.84,22.85
2022-07-29,-68.8,28.24,-97.04,16.03
2022-08-26,-64.71,26.48,-91.19,20.9
2022-09-26,-67.08,15.14,-82.22,28.36
2022-10-24,-65.15,18.92,-84.07,26.82
2022-11-21,-71.52,23.58,-95.1,17.65
2022-12-20,-72.38,18.86,-91.24,20.86
2023-01-20,-57.77,23.33,-81.1,29.29
2023-02-17,-68.38,26.5,-94.88,17.83
2023-03-20,-71.13,22.5,-93.63,18.87
2023-04-18,-69.05,28.0,-97.05,16.02
2023-05-16,-74.48,26.46,-100.94,12.79
2023-06-14,-66.91,34.3,-101.21,12.57
2023-07-14,-63.3,37.56,-100.86,12.86
2023-08-11,-62.74,36.39,-99.13,14.3
2023-09-11,-62.12,36.62,-98.74,14.62
2023-10-09,-62.44,31.42,-93.86,18.68
2023-11-06,-63.25,32.04,-95.29,17.49
2023-12-05,-56.63,37.95,-94.58,18.08
2024-01-04,-53.5,40.68,-94.18,18.41
2024-02-02,-53.76,48.24,-102.0,11.91
2024-03-04,-37.7,53.02,-90.72,21.29
2024-04-02,-31.93,54.38,-86.31,24.96
2024-04-30,-42.67,49.41,-92.08,20.16
2024-05-29,-41.26,55.96,-97.22,15.88
2024-06-27,-50.17,61.79,-111.96,3.63
2024-07-26,-54.01,60.02,-114.03,1.9
