Date,rate_MDT,rate_VOO
2022-01-03,0.0,0.0
2022-01-04,0.14,-0.02
2022-01-05,-0.04,-0.97
2022-01-06,-0.53,-1.04
2022-01-07,-0.44,-1.21
2022-01-10,-0.23,-1.27
2022-01-11,1.37,-0.63
2022-01-12,2.12,-0.4
2022-01-13,2.0,-1.43
2022-01-14,1.84,-1.41
2022-01-18,1.09,-2.7
2022-01-19,1.28,-3.45
2022-01-20,0.12,-4.24
2022-01-21,-0.24,-5.63
2022-01-24,-1.22,-5.34
2022-01-25,-1.25,-6.33
2022-01-26,-1.32,-6.51
2022-01-27,-2.07,-6.91
2022-01-28,-2.11,-4.96
2022-01-31,-1.81,-3.46
2022-02-01,-1.67,-2.79
2022-02-02,-1.86,-1.97
2022-02-03,-2.89,-4.0
2022-02-04,-2.41,-3.6
2022-02-07,-3.04,-3.88
2022-02-08,-1.04,-3.15
2022-02-09,0.65,-1.81
2022-02-10,-0.44,-3.44
2022-02-11,-2.14,-5.24
2022-02-14,-2.75,-5.53
2022-02-15,-1.28,-4.08
2022-02-16,-1.98,-3.98
2022-02-17,-3.32,-5.93
2022-02-18,-4.35,-6.5
2022-02-22,-1.45,-7.48
2022-02-23,-2.09,-9.06
2022-02-24,-1.81,-7.73
2022-02-25,0.5,-5.81
2022-02-28,-0.28,-6.04
2022-03-01,-1.48,-7.18
2022-03-02,0.99,-5.58
2022-03-03,2.14,-6.03
2022-03-04,2.73,-6.74
2022-03-07,1.22,-9.33
2022-03-08,-1.14,-9.98
2022-03-09,-1.61,-7.69
2022-03-10,-0.8,-8.09
2022-03-11,-1.39,-9.21
2022-03-14,-1.95,-9.84
2022-03-15,0.1,-7.92
2022-03-16,1.88,-5.92
2022-03-17,4.17,-4.8
2022-03-18,4.58,-3.77
2022-03-21,3.24,-3.77
2022-03-22,3.45,-2.68
2022-03-23,0.8,-3.9
2022-03-24,0.98,-2.83
2022-03-25,2.97,-2.35
2022-03-28,4.35,-1.69
2022-03-29,6.31,-0.48
2022-03-30,5.66,-1.09
2022-03-31,5.17,-2.57
2022-04-01,6.24,-2.24
2022-04-04,4.96,-1.45
2022-04-05,4.63,-2.62
2022-04-06,5.68,-3.57
2022-04-07,6.21,-3.1
2022-04-08,6.33,-3.33
2022-04-11,5.51,-4.94
2022-04-12,4.66,-5.28
2022-04-13,4.55,-4.23
2022-04-14,3.25,-5.37
2022-04-18,2.4,-5.35
2022-04-19,4.38,-3.88
2022-04-20,6.94,-3.95
2022-04-21,7.03,-5.34
2022-04-22,2.15,-7.86
2022-04-25,3.7,-7.37
2022-04-26,1.17,-9.95
2022-04-27,1.03,-9.73
2022-04-28,1.52,-7.52
2022-04-29,-1.09,-10.83
2022-05-02,-2.16,-9.99
2022-05-03,-2.19,-9.62
2022-05-04,0.33,-6.99
2022-05-05,-0.86,-10.13
2022-05-06,-1.88,-10.67
2022-05-09,-5.46,-13.43
2022-05-10,-4.77,-13.22
2022-05-11,-4.46,-14.58
2022-05-12,-4.03,-14.64
2022-05-13,-2.56,-12.68
2022-05-16,-1.49,-12.99
2022-05-17,0.81,-11.29
2022-05-18,-1.72,-14.71
2022-05-19,-2.49,-15.27
2022-05-20,-2.7,-15.25
2022-05-23,-1.07,-13.68
2022-05-24,0.18,-14.29
2022-05-25,0.14,-13.59
2022-05-26,-5.62,-11.92
2022-05-27,-5.96,-9.77
2022-05-31,-4.95,-10.26
2022-06-01,-6.99,-10.69
2022-06-02,-6.32,-9.06
2022-06-03,-9.16,-10.5
2022-06-06,-9.15,-10.26
2022-06-07,-8.22,-9.4
2022-06-08,-8.63,-10.37
2022-06-09,-11.32,-12.42
2022-06-10,-11.75,-14.93
2022-06-13,-14.19,-18.12
2022-06-14,-15.79,-18.32
2022-06-15,-14.97,-17.18
2022-06-16,-16.81,-19.83
2022-06-17,-16.04,-19.62
2022-06-21,-15.57,-17.71
2022-06-22,-15.06,-17.88
2022-06-23,-15.61,-17.04
2022-06-24,-14.14,-14.53
2022-06-27,-13.91,-14.84
2022-06-28,-15.11,-16.63
2022-06-29,-13.95,-16.92
2022-06-30,-14.59,-17.56
2022-07-01,-12.69,-16.28
2022-07-05,-13.51,-16.14
2022-07-06,-14.32,-15.85
2022-07-07,-14.44,-14.65
2022-07-08,-14.46,-14.7
2022-07-11,-14.96,-15.64
2022-07-12,-15.21,-16.4
2022-07-13,-15.95,-16.77
2022-07-14,-16.33,-16.99
2022-07-15,-14.8,-15.46
2022-07-18,-15.96,-16.14
2022-07-19,-13.65,-13.93
2022-07-20,-14.69,-13.4
2022-07-21,-13.71,-12.55
2022-07-22,-13.28,-13.32
2022-07-25,-13.25,-13.24
2022-07-26,-12.16,-14.25
2022-07-27,-10.9,-12.07
2022-07-28,-10.67,-10.99
2022-07-29,-11.57,-9.72
2022-08-01,-10.75,-9.72
2022-08-02,-10.65,-10.15
2022-08-03,-10.26,-9.12
2022-08-04,-10.65,-9.18
2022-08-05,-10.6,-9.31
2022-08-08,-10.39,-9.37
2022-08-09,-10.71,-9.62
2022-08-10,-10.0,-8.33
2022-08-11,-10.09,-8.33
2022-08-12,-9.58,-7.26
2022-08-15,-9.33,-6.98
2022-08-16,-9.26,-6.87
2022-08-17,-9.51,-7.3
2022-08-18,-9.3,-7.11
2022-08-19,-9.46,-7.96
2022-08-22,-10.68,-9.24
2022-08-23,-12.51,-9.38
2022-08-24,-13.11,-9.2
2022-08-25,-11.28,-8.33
2022-08-26,-13.01,-10.4
2022-08-29,-13.34,-10.79
2022-08-30,-14.41,-11.42
2022-08-31,-13.98,-11.87
2022-09-01,-13.24,-11.4
2022-09-02,-14.07,-11.98
2022-09-06,-14.7,-12.17
2022-09-07,-13.97,-10.9
2022-09-08,-13.27,-10.38
2022-09-09,-11.62,-9.13
2022-09-12,-9.52,-8.23
2022-09-13,-11.16,-12.01
2022-09-14,-10.87,-11.7
2022-09-15,-10.87,-12.63
2022-09-16,-11.22,-13.28
2022-09-19,-11.76,-12.65
2022-09-20,-12.93,-13.61
2022-09-21,-15.55,-15.08
2022-09-22,-17.63,-15.78
2022-09-23,-18.5,-17.14
2022-09-26,-19.78,-17.92
2022-09-27,-20.2,-18.14
2022-09-28,-18.55,-16.92
2022-09-29,-18.86,-18.62
2022-09-30,-20.34,-19.84
2022-10-03,-17.99,-17.32
2022-10-04,-16.25,-14.89
2022-10-05,-15.72,-15.03
2022-10-06,-16.32,-15.9
2022-10-07,-18.26,-18.18
2022-10-10,-18.82,-18.77
2022-10-11,-18.77,-19.3
2022-10-12,-20.31,-19.54
2022-10-13,-17.19,-17.48
2022-10-14,-19.04,-19.3
2022-10-17,-17.92,-17.29
2022-10-18,-16.6,-16.34
2022-10-19,-17.03,-16.91
2022-10-20,-18.22,-17.57
2022-10-21,-17.43,-15.63
2022-10-24,-16.82,-14.63
2022-10-25,-16.21,-13.27
2022-10-26,-15.35,-13.9
2022-10-27,-15.15,-14.35
2022-10-28,-13.92,-12.4
2022-10-31,-13.41,-12.98
2022-11-01,-12.7,-13.0
2022-11-02,-14.58,-15.11
2022-11-03,-16.27,-15.97
2022-11-04,-15.67,-14.8
2022-11-07,-14.81,-14.03
2022-11-08,-20.04,-13.57
2022-11-09,-20.92,-15.28
2022-11-10,-18.43,-10.81
2022-11-11,-16.75,-9.98
2022-11-14,-17.39,-10.68
2022-11-15,-16.9,-9.96
2022-11-16,-18.5,-10.63
2022-11-17,-20.31,-10.88
2022-11-18,-18.97,-10.49
2022-11-21,-17.99,-10.8
2022-11-22,-22.31,-9.64
2022-11-23,-21.23,-9.09
2022-11-25,-21.13,-9.1
2022-11-28,-24.09,-10.5
2022-11-29,-23.74,-10.66
2022-11-30,-21.2,-7.97
2022-12-01,-20.49,-7.76
2022-12-02,-20.13,-7.89
2022-12-05,-20.94,-9.46
2022-12-06,-22.62,-10.72
2022-12-07,-22.79,-10.89
2022-12-08,-21.92,-10.21
2022-12-09,-21.13,-10.84
2022-12-12,-20.03,-9.61
2022-12-13,-19.61,-8.96
2022-12-14,-20.94,-9.5
2022-12-15,-22.0,-11.68
2022-12-16,-22.99,-12.71
2022-12-19,-22.6,-13.44
2022-12-20,-23.02,-13.72
2022-12-21,-22.56,-12.46
2022-12-22,-22.58,-13.66
2022-12-23,-22.22,-13.19
2022-12-27,-22.08,-13.52
2022-12-28,-23.42,-14.56
2022-12-29,-21.91,-13.08
2022-12-30,-22.0,-13.31
2023-01-03,-20.96,-13.32
2023-01-04,-18.28,-12.72
2023-01-05,-19.22,-13.65
2023-01-06,-18.39,-11.74
2023-01-09,-21.72,-11.8
2023-01-10,-20.37,-11.18
2023-01-11,-18.93,-10.08
2023-01-12,-19.4,-9.75
2023-01-13,-18.66,-9.41
2023-01-17,-18.9,-9.54
2023-01-18,-20.53,-10.98
2023-01-19,-19.73,-11.6
2023-01-20,-18.34,-10.01
2023-01-23,-16.87,-8.94
2023-01-24,-18.45,-9.04
2023-01-25,-18.05,-9.01
2023-01-26,-17.4,-8.06
2023-01-27,-16.66,-7.8
2023-01-30,-16.66,-8.93
2023-01-31,-15.55,-7.66
2023-02-01,-13.15,-6.52
2023-02-02,-11.38,-5.25
2023-02-03,-11.85,-6.21
2023-02-06,-13.67,-6.73
2023-02-07,-12.34,-5.74
2023-02-08,-12.76,-6.59
2023-02-09,-15.3,-7.25
2023-02-10,-15.22,-7.06
2023-02-13,-14.52,-6.18
2023-02-14,-15.51,-6.21
2023-02-15,-14.42,-5.96
2023-02-16,-14.71,-6.98
2023-02-17,-14.11,-7.17
2023-02-21,-13.42,-8.6
2023-02-22,-13.81,-8.69
2023-02-23,-14.92,-8.34
2023-02-24,-15.42,-9.1
2023-02-27,-15.52,-8.85
2023-02-28,-16.11,-9.16
2023-03-01,-16.46,-9.24
2023-03-02,-16.29,-8.66
2023-03-03,-15.16,-7.41
2023-03-06,-16.61,-7.32
2023-03-07,-18.8,-8.65
2023-03-08,-20.14,-8.52
2023-03-09,-20.54,-10.08
2023-03-10,-21.82,-11.27
2023-03-13,-20.56,-11.41
2023-03-14,-20.68,-10.0
2023-03-15,-20.13,-10.53
2023-03-16,-19.26,-9.06
2023-03-17,-20.25,-10.02
2023-03-20,-18.92,-9.23
2023-03-21,-17.28,-8.08
2023-03-22,-18.58,-9.56
2023-03-23,-20.98,-9.35
2023-03-24,-19.16,-9.13
2023-03-27,-18.89,-8.98
2023-03-28,-19.02,-9.14
2023-03-29,-19.47,-7.87
2023-03-30,-19.35,-7.33
2023-03-31,-17.89,-6.05
2023-04-03,-18.45,-5.56
2023-04-04,-18.65,-6.08
2023-04-05,-17.84,-6.3
2023-04-06,-17.81,-5.95
2023-04-10,-17.87,-5.85
2023-04-11,-17.1,-5.84
2023-04-12,-17.3,-6.21
2023-04-13,-16.51,-5.01
2023-04-14,-17.4,-5.2
2023-04-17,-15.97,-4.88
2023-04-18,-16.45,-4.82
