Date,rate_O_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,91.76
2019-03-01,6.49,6.13,0.36,92.16
2019-04-29,6.15,10.74,-4.59,86.62
2019-06-25,7.09,9.75,-2.66,88.78
2019-08-21,8.71,9.45,-0.74,90.93
2019-10-17,15.55,11.38,4.17,96.42
2019-12-13,5.99,17.31,-11.32,79.1
2020-02-12,13.93,23.26,-9.33,81.32
2020-04-09,-16.73,5.35,-22.08,67.07
2020-06-08,-4.76,21.76,-26.52,62.1
2020-08-04,-8.66,23.27,-31.93,56.05
2020-09-30,-10.47,22.35,-32.82,55.05
2020-11-25,-6.91,30.73,-37.64,49.66
2021-01-26,-9.81,37.01,-46.82,39.4
2021-03-24,-5.4,38.04,-43.44,43.18
2021-05-20,-0.07,45.0,-45.07,41.36
2021-07-19,2.52,46.79,-44.27,42.25
2021-09-14,0.65,49.47,-48.82,37.16
2021-11-09,4.69,55.69,-51.0,34.72
2022-01-06,8.94,54.19,-45.25,41.15
2022-03-07,-1.41,37.12,-38.53,48.67
2022-05-03,3.01,34.96,-31.95,56.03
2022-06-30,3.86,22.0,-18.14,71.47
2022-08-26,7.9,30.79,-22.89,66.16
2022-10-24,-7.98,22.72,-30.7,57.43
2022-12-20,-1.53,22.59,-24.12,64.78
2023-02-17,3.09,30.41,-27.32,61.21
2023-04-18,-4.68,31.87,-36.55,50.88
2023-06-14,-4.44,38.27,-42.71,43.99
2023-08-11,-7.28,40.92,-48.2,37.86
2023-10-09,-18.23,35.51,-53.74,31.66
2023-12-05,-10.79,42.24,-53.03,32.45
2024-02-02,-11.8,52.79,-64.59,19.53
2024-04-02,-13.63,59.09,-72.72,10.43
2024-05-29,-16.3,60.75,-77.05,5.59
2024-07-26,-4.73,64.89,-69.62,13.9
