Date,rate_ORCL,rate_ORCL_5D,rate_ORCL_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.53,,,-0.02,,
2022-01-05,-0.82,,,-0.97,,
2022-01-06,-0.88,,,-1.04,,
2022-01-07,-0.22,-0.27799999999999997,,-1.21,-0.648,
2022-01-10,0.78,-0.12199999999999997,,-1.27,-0.9019999999999999,
2022-01-11,0.33,-0.16199999999999998,,-0.63,-1.024,
2022-01-12,0.23,0.048000000000000015,,-0.4,-0.9099999999999999,
2022-01-13,-0.06,0.21200000000000002,,-1.43,-0.9879999999999999,
2022-01-14,-0.12,0.23200000000000004,,-1.41,-1.028,
2022-01-18,-1.33,-0.19,,-2.7,-1.314,
2022-01-19,-2.56,-0.768,,-3.45,-1.8780000000000001,
2022-01-20,-2.93,-1.4,,-4.24,-2.646,
2022-01-21,-3.22,-2.032,,-5.63,-3.4859999999999998,
2022-01-24,-3.1,-2.628,,-5.34,-4.272,
2022-01-25,-4.27,-3.216,,-6.33,-4.998,
2022-01-26,-5.56,-3.816,,-6.51,-5.609999999999999,
2022-01-27,-5.39,-4.308,,-6.91,-6.144,
2022-01-28,-4.79,-4.622,,-4.96,-6.01,
2022-01-31,-4.2,-4.8420000000000005,-1.879,-3.46,-5.634,-2.8954999999999997
2022-02-01,-4.18,-4.824,-2.088,-2.79,-4.926,-3.035
2022-02-02,-2.74,-4.26,-2.2515,-1.97,-4.018,-3.1325
2022-02-03,-3.29,-3.8400000000000007,-2.375,-4.0,-3.436,-3.284
2022-02-04,-3.12,-3.5060000000000002,-2.4869999999999997,-3.6,-3.164,-3.4120000000000004
2022-02-07,-4.48,-3.5620000000000003,-2.7,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-4.43,-3.6120000000000005,-2.9605,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-1.54,-3.372,-3.054,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-3.28,-3.37,-3.2295000000000003,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-5.56,-3.8579999999999997,-3.5045,-5.24,-3.504,-4.0409999999999995
2022-02-14,-6.42,-4.246,-3.8195,-5.53,-3.8340000000000005,-4.247
2022-02-15,-5.49,-4.458,-4.0275,-4.08,-4.0200000000000005,-4.316
2022-02-16,-6.15,-5.380000000000001,-4.207,-3.98,-4.454,-4.3425
2022-02-17,-10.3,-6.784000000000001,-4.5755,-5.93,-4.952,-4.427
2022-02-18,-11.39,-7.95,-4.984,-6.5,-5.204,-4.4704999999999995
2022-02-22,-11.9,-9.046000000000001,-5.4239999999999995,-7.48,-5.593999999999999,-4.5775
2022-02-23,-13.77,-10.702000000000002,-5.899,-9.06,-6.590000000000001,-4.714
2022-02-24,-11.12,-11.696000000000002,-6.177,-7.73,-7.340000000000001,-4.775
2022-02-25,-9.37,-11.510000000000002,-6.3759999999999994,-5.81,-7.316,-4.720000000000001
2022-02-28,-9.8,-11.192,-6.6265,-6.04,-7.224000000000001,-4.774
2022-03-01,-9.46,-10.704,-6.8895,-7.18,-7.164,-4.96
2022-03-02,-6.91,-9.332,-7.026000000000001,-5.58,-6.467999999999999,-5.099500000000001
2022-03-03,-6.94,-8.496,-7.236,-6.03,-6.128,-5.3025
2022-03-04,-8.92,-8.406,-7.517500000000001,-6.74,-6.314,-5.439500000000001
2022-03-07,-11.36,-8.718,-7.9295,-9.33,-6.9719999999999995,-5.726
2022-03-08,-12.5,-9.326,-8.3305,-9.98,-7.531999999999999,-6.031000000000001
2022-03-09,-9.3,-9.803999999999998,-8.574000000000002,-7.69,-7.954000000000001,-6.258
2022-03-10,-8.67,-10.15,-8.930499999999999,-8.09,-8.366,-6.572
2022-03-11,-7.32,-9.83,-9.1325,-9.21,-8.86,-6.8605
2022-03-14,-8.18,-9.194,-9.2635,-9.84,-8.962,-7.0905000000000005
2022-03-15,-4.05,-7.5040000000000004,-9.145,-7.92,-8.55,-7.210000000000001
2022-03-16,-4.8,-6.604000000000001,-9.1105,-5.92,-8.196000000000002,-7.302000000000001
2022-03-17,-4.05,-5.680000000000001,-9.005500000000001,-4.8,-7.537999999999999,-7.343000000000001
2022-03-18,-2.79,-4.774000000000001,-8.629999999999999,-3.77,-6.45,-7.235000000000001
2022-03-21,-3.63,-3.8640000000000008,-8.242,-3.77,-5.236,-7.0985
2022-03-22,-2.64,-3.5820000000000007,-7.779000000000001,-2.68,-4.188,-6.858499999999999
2022-03-23,-4.3,-3.4820000000000007,-7.305499999999999,-3.9,-3.7840000000000003,-6.600500000000001
2022-03-24,-2.12,-3.096000000000001,-6.855499999999999,-2.83,-3.3899999999999997,-6.3555
