Date,rate_PSX_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,71.84
2019-03-01,3.72,4.45,-0.73,71.08
2019-04-29,1.79,7.58,-5.79,65.76
2019-06-25,-3.25,7.2,-10.45,60.86
2019-08-21,5.37,7.24,-1.87,69.88
2019-10-17,12.57,8.87,3.7,75.73
2019-12-13,17.83,13.19,4.64,76.72
2020-02-12,-2.05,18.03,-20.08,50.74
2020-04-09,-27.32,3.89,-31.21,39.04
2020-06-08,2.02,14.68,-12.66,58.54
2020-08-04,-26.97,16.26,-43.23,26.41
2020-09-30,-37.38,17.41,-54.79,14.26
2020-11-25,-22.39,24.05,-46.44,23.04
2021-01-26,-17.14,29.15,-46.29,23.19
2021-03-24,-5.99,30.35,-36.34,33.65
2021-05-20,-2.79,36.67,-39.46,30.37
2021-07-19,-17.93,38.99,-56.92,12.02
2021-09-14,-23.45,43.6,-67.05,1.38
2021-11-09,-8.96,49.14,-58.1,10.78
2022-01-06,-7.6,49.24,-56.84,12.11
2022-03-07,-5.39,37.68,-43.07,26.58
2022-05-03,3.12,36.93,-33.81,36.31
2022-06-30,-6.03,27.61,-33.64,36.49
2022-08-26,4.57,34.27,-29.7,40.63
2022-10-24,13.12,27.92,-14.8,56.29
2022-12-20,15.45,28.33,-12.88,58.31
2023-02-17,12.22,34.71,-22.49,48.21
2023-04-18,17.18,36.36,-19.18,51.69
2023-06-14,8.23,41.83,-33.6,36.53
2023-08-11,30.01,43.86,-13.85,57.29
2023-10-09,24.36,40.69,-16.33,54.68
2023-12-05,41.51,46.52,-5.01,66.58
2024-02-02,59.99,55.53,4.46,76.53
2024-04-02,84.97,61.42,23.55,96.59
2024-05-29,52.42,63.18,-10.76,60.54
2024-07-26,56.6,67.5,-10.9,60.39
