Date,rate_TMUS_5D,rate_TMUS_20D,rate_VOO_5D,rate_VOO_20D
2022-01-03,,,,
2022-01-04,,,,
2022-01-05,,,,
2022-01-06,,,,
2022-01-07,-0.25999999999999995,,-0.648,
2022-01-10,-1.018,,-0.9019999999999999,
2022-01-11,-1.042,,-1.024,
2022-01-12,-1.196,,-0.9099999999999999,
2022-01-13,-1.466,,-0.9879999999999999,
2022-01-14,-1.44,,-1.028,
2022-01-18,-1.282,,-1.314,
2022-01-19,-2.032,,-1.8780000000000001,
2022-01-20,-2.944,,-2.646,
2022-01-21,-4.0840000000000005,,-3.4859999999999998,
2022-01-24,-4.336,,-4.272,
2022-01-25,-4.526,,-4.998,
2022-01-26,-4.74,,-5.609999999999999,
2022-01-27,-4.49,,-6.144,
2022-01-28,-3.5,,-6.01,
2022-01-31,-3.2599999999999993,-2.3240000000000003,-5.634,-2.8954999999999997
2022-02-01,-2.628,-2.3635,-4.926,-3.035
2022-02-02,-1.7600000000000002,-2.3935000000000004,-4.018,-3.1325
2022-02-03,0.6599999999999998,-1.9925000000000002,-3.436,-3.284
2022-02-04,2.6919999999999997,-1.5895,-3.164,-3.4120000000000004
2022-02-07,4.982,-1.0135,-3.2479999999999998,-3.5454999999999997
2022-02-08,7.590000000000001,-0.21150000000000002,-3.3200000000000003,-3.6395000000000004
2022-02-09,10.626,0.5235,-3.2879999999999994,-3.6985000000000006
2022-02-10,11.34,1.1415,-3.1759999999999997,-3.8505000000000003
2022-02-11,11.922,1.7575000000000003,-3.504,-4.0409999999999995
2022-02-14,12.49,2.4690000000000003,-3.8340000000000005,-4.247
2022-02-15,12.762,3.2995000000000005,-4.0200000000000005,-4.316
2022-02-16,12.674000000000001,4.2,-4.454,-4.3425
2022-02-17,12.572,5.0205,-4.952,-4.427
2022-02-18,12.478,5.898000000000001,-5.204,-4.4704999999999995
2022-02-22,12.136,6.587000000000001,-5.593999999999999,-4.5775
2022-02-23,11.178,7.225500000000001,-6.590000000000001,-4.714
2022-02-24,10.526,8.0165,-7.340000000000001,-4.775
2022-02-25,10.682,8.8135,-7.316,-4.720000000000001
2022-02-28,10.55,9.410499999999999,-7.224000000000001,-4.774
2022-03-01,10.422,10.0075,-7.164,-4.96
2022-03-02,11.07,10.65,-6.467999999999999,-5.099500000000001
2022-03-03,11.052,11.2195,-6.128,-5.3025
2022-03-04,10.606,11.3,-6.314,-5.439500000000001
2022-03-07,10.389999999999999,11.335,-6.9719999999999995,-5.726
2022-03-08,9.725999999999999,11.1935,-7.531999999999999,-6.031000000000001
2022-03-09,9.106,11.029,-7.954000000000001,-6.258
2022-03-10,9.046,10.8245,-8.366,-6.572
2022-03-11,9.282,10.7855,-8.86,-6.8605
2022-03-14,9.588,10.7515,-8.962,-7.0905000000000005
2022-03-15,10.806000000000001,10.772499999999999,-8.55,-7.210000000000001
2022-03-16,11.82,10.7935,-8.196000000000002,-7.302000000000001
2022-03-17,12.77,10.8485,-7.537999999999999,-7.343000000000001
2022-03-18,13.229999999999999,10.95,-6.45,-7.235000000000001
2022-03-21,13.564000000000002,11.023,-5.236,-7.0985
2022-03-22,13.459999999999999,11.1035,-4.188,-6.858499999999999
2022-03-23,12.943999999999999,11.235,-3.7840000000000003,-6.600500000000001
2022-03-24,12.370000000000001,11.3095,-3.3899999999999997,-6.3555
2022-03-25,11.862,11.245000000000001,-3.106,-6.182499999999999
2022-03-28,11.954,11.374,-2.69,-5.965000000000001
2022-03-29,12.440000000000001,11.608,-2.25,-5.63
2022-03-30,13.11,11.745000000000001,-1.688,-5.4055
2022-03-31,13.581999999999999,11.942,-1.636,-5.2325
2022-04-01,14.628,12.2505,-1.614,-5.0075
