Date,rate_T,rate_T_5D,rate_T_20D,rate_VOO,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,,,0.0,,
2022-01-04,0.41,,,-0.02,,
2022-01-05,1.53,,,-0.97,,
2022-01-06,1.34,,,-1.04,,
2022-01-07,1.69,0.994,,-1.21,-0.648,
2022-01-10,2.02,1.3980000000000001,,-1.27,-0.9019999999999999,
2022-01-11,1.79,1.6740000000000002,,-0.63,-1.024,
2022-01-12,2.0,1.768,,-0.4,-0.9099999999999999,
2022-01-13,2.69,2.038,,-1.43,-0.9879999999999999,
2022-01-14,3.44,2.3880000000000003,,-1.41,-1.028,
2022-01-18,3.69,2.7220000000000004,,-2.7,-1.314,
2022-01-19,3.63,3.09,,-3.45,-1.8780000000000001,
2022-01-20,3.12,3.314,,-4.24,-2.646,
2022-01-21,2.32,3.2399999999999998,,-5.63,-3.4859999999999998,
2022-01-24,1.79,2.9099999999999997,,-5.34,-4.272,
2022-01-25,2.19,2.61,,-6.33,-4.998,
2022-01-26,-4.3,1.0240000000000002,,-6.51,-5.609999999999999,
2022-01-27,-4.68,-0.5359999999999998,,-6.91,-6.144,
2022-01-28,-1.51,-1.3019999999999998,,-4.96,-6.01,
2022-01-31,-0.66,-1.7919999999999998,1.125,-3.46,-5.634,-2.8954999999999997
2022-02-01,-4.2,-3.0699999999999994,0.915,-2.79,-4.926,-3.035
2022-02-02,-3.8,-2.9699999999999998,0.7045,-1.97,-4.018,-3.1325
2022-02-03,-3.74,-2.782,0.441,-4.0,-3.436,-3.284
2022-02-04,-5.32,-3.5439999999999996,0.10799999999999996,-3.6,-3.164,-3.4120000000000004
2022-02-07,-5.81,-4.574,-0.267,-3.88,-3.2479999999999998,-3.5454999999999997
2022-02-08,-5.78,-4.890000000000001,-0.657,-3.15,-3.3200000000000003,-3.6395000000000004
2022-02-09,-3.75,-4.88,-0.9339999999999999,-1.81,-3.2879999999999994,-3.6985000000000006
2022-02-10,-4.66,-5.064,-1.267,-3.44,-3.1759999999999997,-3.8505000000000003
2022-02-11,-5.09,-5.017999999999999,-1.6560000000000001,-5.24,-3.504,-4.0409999999999995
2022-02-14,-5.38,-4.932,-2.097,-5.53,-3.8340000000000005,-4.247
2022-02-15,-4.29,-4.634,-2.4959999999999996,-4.08,-4.0200000000000005,-4.316
