Date,rate_VOO_5D,rate_VOO_20D
2022-01-03,0.0,0.0
2022-01-10,-0.9019999999999999,0.0
2022-01-18,-1.314,0.0
2022-01-25,-4.998,0.0
2022-02-01,-4.926,-3.035
2022-02-08,-3.3200000000000003,-3.6395000000000004
2022-02-15,-4.0200000000000005,-4.316
2022-02-23,-6.590000000000001,-4.714
2022-03-02,-6.467999999999999,-5.099500000000001
2022-03-09,-7.954000000000001,-6.258
2022-03-16,-8.196000000000002,-7.302000000000001
2022-03-23,-3.7840000000000003,-6.600500000000001
2022-03-30,-1.688,-5.4055
2022-04-06,-2.4899999999999998,-4.0395
2022-04-13,-4.176,-3.0345
2022-04-21,-4.7780000000000005,-3.283
2022-04-28,-8.485999999999999,-4.9825
2022-05-05,-9.512,-6.7379999999999995
2022-05-12,-13.308000000000002,-9.021
2022-05-19,-13.388,-11.1735
2022-05-26,-13.745999999999999,-12.4885
2022-06-03,-10.056000000000001,-12.624500000000001
2022-06-10,-11.475999999999999,-12.1665
2022-06-17,-18.614,-13.472999999999999
2022-06-27,-16.4,-14.136499999999998
2022-07-05,-16.706,-15.799000000000001
2022-07-12,-15.447999999999999,-16.792
2022-07-19,-15.857999999999999,-16.103
2022-07-26,-13.352,-15.341
2022-08-02,-10.53,-13.797
2022-08-09,-9.319999999999999,-12.265
2022-08-16,-7.554,-10.189
2022-08-23,-8.198,-8.9005
2022-08-30,-10.028,-8.774999999999999
2022-09-07,-11.664,-9.361
2022-09-14,-10.290000000000001,-10.045
2022-09-21,-13.45,-11.358
2022-09-28,-17.18,-13.146
2022-10-05,-17.14,-14.515
2022-10-12,-18.338,-16.526999999999997
2022-10-19,-17.464,-17.530499999999996
2022-10-26,-15.0,-16.9855
2022-11-02,-13.568000000000001,-16.0925
2022-11-09,-14.73,-15.1905
2022-11-16,-10.412,-13.4275
2022-11-23,-10.180000000000001,-12.2225
2022-12-01,-9.198,-11.129999999999999
2022-12-08,-9.834,-9.906000000000002
2022-12-15,-10.118,-9.8325
2022-12-22,-13.197999999999999,-10.587
2022-12-30,-13.532,-11.6705
2023-01-09,-12.646,-12.3735
2023-01-17,-9.992,-12.342
2023-01-24,-10.113999999999999,-11.571000000000002
2023-01-31,-8.291999999999998,-10.261
2023-02-07,-6.09,-8.622
2023-02-14,-6.6579999999999995,-7.788500000000001
2023-02-22,-7.4799999999999995,-7.13
2023-03-01,-8.937999999999999,-7.291500000000001
2023-03-08,-8.112,-7.797
2023-03-15,-10.658,-8.797
2023-03-22,-9.190000000000001,-9.2245
2023-03-29,-8.894,-9.2135
2023-04-05,-6.264,-8.7515
2023-04-13,-5.772,-7.529999999999999
2023-04-20,-5.018000000000001,-6.487
2023-04-27,-5.786,-5.71
2023-05-04,-5.47,-5.5115
2023-05-11,-5.218000000000001,-5.372999999999999
2023-05-18,-4.85,-5.331
2023-05-25,-4.51,-5.012
2023-06-02,-3.096,-4.4185
2023-06-09,-1.558,-3.5035000000000003
2023-06-16,0.7260000000000001,-2.1095
2023-06-26,0.292,-0.909
2023-07-03,1.1720000000000002,0.158
2023-07-11,1.23,0.8550000000000001
2023-07-18,3.344,1.5095
2023-07-25,4.224,2.4925
2023-08-01,4.616,3.3534999999999995
2023-08-08,3.342,3.8815
2023-08-15,2.848,3.7574999999999994
2023-08-22,1.6780000000000002,3.1209999999999996
2023-08-29,2.3440000000000003,2.553
2023-09-06,3.4,2.5675
2023-09-13,2.786,2.5520000000000005
2023-09-20,2.498,2.757
2023-09-27,-0.722,1.9904999999999997
2023-10-04,-1.812,0.6875
2023-10-11,-0.564,-0.14999999999999997
2023-10-18,-0.09600000000000002,-0.7985
2023-10-25,-2.7340000000000004,-1.3015
2023-11-01,-4.078,-1.8679999999999999
2023-11-08,0.25,-1.6644999999999999
2023-11-15,1.968,-1.1485
2023-11-22,4.273999999999999,0.6034999999999999
2023-11-30,4.837999999999999,2.8325
2023-12-07,5.186,4.0665
2023-12-14,6.9239999999999995,5.3055
2023-12-21,8.341999999999999,6.3225
2023-12-29,8.918000000000001,7.342499999999999
2024-01-08,7.8260000000000005,8.0025
2024-01-16,9.036,8.5305
2024-01-23,9.872,8.913
2024-01-30,11.552,9.5715
2024-02-06,11.748,10.552000000000001
2024-02-13,13.122,11.5735
2024-02-21,13.151999999999997,12.3935
2024-02-28,14.8,13.2055
2024-03-06,15.252,14.0815
2024-03-13,16.028,14.807999999999998
2024-03-20,16.33,15.602500000000001
2024-03-27,17.268,16.2195
2024-04-04,16.608,16.558500000000002
2024-04-11,16.22,16.6065
2024-04-18,13.296000000000001,15.847999999999999
2024-04-25,12.904,14.757
2024-05-02,13.55,13.992499999999998
2024-05-09,15.884,13.9085
2024-05-16,17.698,15.009
2024-05-23,18.726000000000003,16.4645
2024-05-31,18.232,17.635
2024-06-07,18.982,18.4095
2024-06-14,20.722,19.1655
2024-06-24,22.206,20.0355
2024-07-01,22.003999999999998,20.9785
2024-07-09,22.898000000000003,21.9575
