Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,84.70,86.11,86.19,84.30,84.70,2857400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.70,0.00,0.00,0.00,False,False,84.70,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,Monthly invest,0.00,0.00,0.00,DUK,0.00
2019-01-03,84.67,84.76,85.60,84.06,84.67,2959700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.70,0.00,0.00,-0.00,False,False,84.67,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,DUK,0.00
2019-01-04,85.37,84.16,85.45,84.06,85.37,3278100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.37,0.00,0.00,0.05,False,False,84.67,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,DUK,0.00
2019-01-07,85.01,84.85,85.39,84.33,85.01,3060200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.37,0.00,0.00,0.05,False,False,84.67,997789.74,0,555737.73,442052.01,4.00,-0.22,1000000,week +buy 50% ,0.00,0.00,0.00,DUK,0.00
2019-01-08,86.08,85.04,86.17,84.50,86.08,2350500,0.00,0.00,85.17,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.13,False,False,84.67,1003353.74,0,555737.73,447616.01,4.00,0.34,1000000,,0.00,0.00,0.00,DUK,0.00
2019-01-09,84.81,84.96,86.00,84.34,84.81,3264400,0.00,0.00,85.19,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.08,False,False,84.67,996749.72,0,555737.73,441011.99,4.00,-0.33,1000000,,0.00,0.00,0.00,DUK,0.00
2019-01-10,85.27,85.05,85.59,84.63,85.27,3758000,0.00,0.00,85.31,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.07,False,False,84.67,999141.71,0,555737.73,443403.98,4.00,-0.09,1000000,,0.00,0.00,0.00,DUK,0.00
2019-01-11,84.61,85.21,85.21,84.21,84.61,3082400,0.00,0.00,85.16,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.02,False,False,84.61,995709.73,0,555737.73,439972.01,4.00,-0.43,1000000,,0.00,0.00,0.00,DUK,0.00
2019-01-14,83.66,84.32,84.32,82.46,83.66,3931000,0.00,0.00,84.89,0.00,0.00,0.00,0.00,86.08,0.00,0.00,-0.09,False,False,83.66,989682.17,0,337134.14,652548.03,6.00,-1.03,1000000,week +buy 50% ,0.00,0.00,0.00,DUK,-0.15
2019-01-15,85.14,83.60,85.46,83.33,85.14,2722900,0.00,0.00,84.70,0.00,0.00,0.00,0.00,86.08,0.00,0.00,-0.04,False,False,83.66,1001226.13,0,337134.14,664091.99,6.00,0.12,1000000,,0.00,0.00,0.00,DUK,0.21
2019-01-16,85.27,84.72,85.38,84.34,85.27,2279100,0.00,0.00,84.79,0.00,0.00,0.00,0.00,86.08,0.00,0.00,-0.00,False,False,83.66,1002240.12,0,337134.14,665105.98,6.00,0.22,1000000,,0.00,0.00,0.00,DUK,0.28
2019-01-17,85.64,85.29,85.77,84.92,85.64,1895700,0.00,0.00,84.86,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.05,False,False,83.66,1005126.13,0,337134.14,667991.99,6.00,0.51,1000000,,0.00,0.00,0.00,DUK,0.51
2019-01-18,85.60,85.94,86.02,85.21,85.60,2842600,0.00,0.00,85.06,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.08,False,False,83.66,1004814.12,0,337134.14,667679.98,6.00,0.48,1000000,,0.00,0.00,0.00,DUK,0.93
2019-01-22,85.61,85.01,86.51,84.85,85.61,2693600,0.00,0.00,85.45,0.00,0.00,0.00,0.00,86.08,0.00,0.00,0.09,False,False,83.66,1004892.15,0,337134.14,667758.01,6.00,0.49,1000000,,0.00,0.00,0.00,DUK,0.51
2019-01-23,86.13,85.49,86.15,85.29,86.13,2629400,0.00,0.00,85.65,0.00,0.00,0.00,0.00,86.13,0.00,0.00,0.13,False,False,83.66,1008948.12,0,337134.14,671813.98,6.00,0.89,1000000,,61.71,0.00,0.00,DUK,0.55
2019-01-24,86.70,86.23,86.77,85.36,86.70,2504400,0.00,0.00,85.94,0.00,0.00,0.00,0.00,86.70,0.00,0.00,0.19,False,False,83.66,1013394.12,0,337134.14,676259.98,6.00,1.34,1000000,,66.01,0.00,0.00,DUK,0.58
2019-01-25,85.85,86.34,86.99,85.63,85.85,2472900,0.00,0.00,85.98,0.00,0.00,0.00,0.00,86.70,0.00,0.00,0.15,False,False,83.66,1006764.12,0,337134.14,669629.98,6.00,0.68,1000000,,55.93,0.00,0.00,DUK,0.85
2019-01-28,85.65,86.02,86.29,85.13,85.65,2079100,0.00,0.00,85.99,0.00,0.00,0.00,0.00,86.70,0.00,0.00,0.10,False,False,83.66,1004647.43,0,225232.41,779415.02,7.00,0.46,1000000,week +buy 50% ,53.84,0.00,0.00,DUK,0.45
2019-01-29,85.63,85.95,86.16,85.28,85.63,3625500,0.00,0.00,85.99,0.00,0.00,0.00,0.00,86.70,0.00,0.00,0.06,False,False,83.66,1004465.38,0,225232.41,779232.97,7.00,0.45,1000000,,53.63,0.00,0.00,DUK,0.37
2019-01-30,86.05,85.36,86.54,85.26,86.05,2215100,86.70,82.71,85.98,85.37,0.00,0.00,0.00,86.70,0.00,0.00,0.06,True,False,83.66,1008287.44,0,225232.41,783055.03,7.00,0.83,1000000,,57.47,0.00,0.00,DUK,1.37
2019-01-31,87.78,86.09,88.48,85.52,87.78,6869400,87.18,82.22,86.19,85.53,0.00,0.00,0.00,87.78,0.00,0.00,0.19,True,False,83.66,1024030.40,0,225232.41,798797.99,7.00,2.40,1000000,,68.90,0.00,0.00,DUK,1.90
2019-02-01,87.78,87.78,88.05,86.86,87.78,3207100,87.56,81.93,86.58,85.68,0.00,0.00,0.00,87.78,0.00,0.00,0.25,True,False,83.66,1024030.40,0,225232.41,798797.99,7.00,2.40,1000000,week +buy 50% Monthly invest,68.90,85.33,0.00,DUK,1.95
2019-02-04,87.82,87.16,87.83,86.48,87.82,3301800,87.89,81.63,87.01,85.80,0.00,0.00,0.00,87.82,0.00,0.00,0.28,True,False,83.66,1024394.41,0,225232.41,799162.00,7.00,2.44,1000000,,69.13,88.59,0.00,DUK,2.41
2019-02-05,88.50,87.91,88.65,87.41,88.50,3464300,88.34,81.27,87.59,85.98,0.00,0.00,0.00,88.50,0.00,0.00,0.32,True,False,83.66,1030582.41,0,225232.41,805350.00,7.00,3.06,1000000,,72.70,91.66,0.00,DUK,2.70
2019-02-06,88.46,88.45,88.79,87.81,88.46,2467400,88.69,80.91,88.07,86.10,0.00,0.00,0.00,88.50,0.00,0.00,0.33,True,False,83.66,1030218.40,0,225232.41,804985.99,7.00,3.02,1000000,week +buy 50% ,72.17,93.80,0.00,DUK,2.62
2019-02-07,89.48,88.40,89.50,87.85,89.48,2844600,89.24,80.51,88.41,86.33,0.00,0.00,0.00,89.48,100.00,32.00,0.38,True,False,83.66,1039500.44,0,225232.41,814268.03,7.00,3.95,1000000,,76.81,97.36,0.00,DUK,1.98
2019-02-08,90.30,89.42,90.58,89.30,90.30,3716600,89.92,79.91,88.91,86.58,0.00,0.00,0.00,90.30,100.00,28.00,0.45,True,False,83.66,1046962.44,0,225232.41,821730.03,7.00,4.70,1000000,,79.74,97.02,0.00,DUK,2.07
2019-02-11,90.17,90.08,90.65,89.70,90.17,2428100,90.41,79.76,89.38,86.86,0.00,0.00,0.00,90.30,100.00,24.00,0.45,True,False,83.66,1045779.39,0,225232.41,820546.98,7.00,4.58,1000000,week +buy 50% ,78.06,96.80,0.00,DUK,2.10
2019-02-12,90.23,90.30,90.74,89.65,90.23,2676900,90.71,80.14,89.73,87.19,0.00,0.00,0.00,90.30,100.00,20.00,0.42,True,False,83.66,1046325.44,0,225232.41,821093.03,7.00,4.63,1000000,,78.28,94.60,0.00,DUK,2.94
2019-02-13,89.59,89.90,90.21,89.32,89.59,5281400,90.95,80.33,89.95,87.41,0.00,0.00,0.00,90.30,96.00,16.00,0.32,True,False,83.66,1040501.38,0,225232.41,815268.96,7.00,4.05,1000000,,69.95,89.76,0.00,DUK,3.13
2019-02-14,87.82,88.53,88.61,87.25,87.82,3987400,90.94,80.74,89.62,87.54,0.00,0.00,0.00,90.30,92.00,12.00,0.11,True,False,83.66,1024394.41,0,225232.41,799162.00,7.00,2.44,1000000,,53.11,75.19,91.01,DUK,2.99
2019-02-15,87.51,88.45,88.49,87.02,87.51,4472900,90.92,81.06,89.06,87.63,0.00,0.00,0.00,90.30,88.00,8.00,-0.07,True,False,83.66,1021573.43,0,225232.41,796341.02,7.00,2.16,1000000,,50.81,59.21,88.40,DUK,3.71
2019-02-19,87.94,87.64,88.14,87.24,87.94,4358600,90.91,81.44,88.62,87.75,0.00,0.00,0.00,90.30,84.00,4.00,-0.15,True,False,83.66,1025486.43,0,225232.41,800254.02,7.00,2.55,1000000,,53.80,49.35,84.48,DUK,3.83
2019-02-20,88.85,87.95,89.06,87.54,88.85,3471200,90.94,81.85,88.34,87.91,0.00,0.00,0.00,90.30,80.00,0.00,-0.14,True,False,83.66,1033767.39,0,225232.41,808534.98,7.00,3.38,1000000,,59.44,54.64,80.77,DUK,3.98
2019-02-21,89.59,88.32,89.66,88.27,89.59,3167800,91.08,82.09,88.34,88.08,0.00,0.00,0.00,90.30,76.00,0.00,-0.08,True,False,83.66,1040501.38,0,225232.41,815268.96,7.00,4.05,1000000,,63.35,66.09,78.00,DUK,3.74
2019-02-22,89.91,89.70,90.29,89.36,89.91,2538500,91.27,82.19,88.76,88.25,0.00,0.00,0.00,90.30,72.00,0.00,-0.03,True,False,83.66,1043413.45,0,225232.41,818181.04,7.00,4.34,1000000,,64.93,77.01,75.97,DUK,4.14
2019-02-25,89.48,89.91,89.95,88.92,89.48,2551000,91.29,82.70,89.15,88.43,0.00,0.00,0.00,90.30,68.00,8.00,-0.04,True,False,83.66,1039500.44,0,225232.41,814268.03,7.00,3.95,1000000,week +buy 50% ,61.12,80.75,74.34,DUK,4.23
2019-02-26,88.88,89.63,89.89,88.19,88.88,3234500,91.15,83.46,89.34,88.59,0.00,0.00,0.00,90.30,64.00,4.00,-0.09,True,False,83.66,1034040.38,0,225232.41,808807.97,7.00,3.40,1000000,,56.18,76.27,72.29,DUK,4.19
2019-02-27,89.28,88.73,89.43,88.47,89.28,2112500,90.96,84.39,89.43,88.77,0.00,0.00,0.00,90.30,60.00,0.00,-0.10,True,False,83.66,1037680.40,0,225232.41,812447.99,7.00,3.77,1000000,,58.58,72.32,70.06,DUK,4.15
2019-02-28,89.66,89.21,89.99,89.00,89.66,4137300,90.78,85.30,89.44,88.95,0.00,0.00,0.00,90.30,56.00,12.00,-0.08,False,False,83.66,1041138.45,0,225232.41,815906.04,7.00,4.11,1000000,,60.79,72.91,68.37,DUK,4.00
2019-03-01,89.53,89.60,89.91,88.93,89.53,5613700,90.80,85.52,89.37,89.04,0.00,0.00,0.00,90.30,52.00,8.00,-0.09,True,False,83.66,1039955.40,0,225232.41,814722.99,7.00,4.00,1000000,week +buy 50% Monthly invest,59.62,74.75,68.33,DUK,4.45
2019-03-04,89.88,89.82,89.95,88.98,89.88,3104400,90.84,85.75,89.45,89.14,0.00,0.00,0.00,90.30,48.00,4.00,-0.07,True,False,83.66,1043140.38,0,225232.41,817907.97,7.00,4.31,1000000,week +buy 50% ,61.75,76.91,70.10,DUK,4.20
2019-03-05,89.53,89.66,89.94,89.43,89.53,3513400,90.82,86.05,89.58,89.23,0.00,0.00,0.00,90.30,44.00,0.00,-0.09,True,False,83.66,1039955.40,0,225232.41,814722.99,7.00,4.00,1000000,week +buy 50% ,58.43,72.96,72.46,DUK,4.12
2019-03-06,89.57,89.65,89.96,89.36,89.57,3121400,90.84,86.16,89.63,89.28,0.00,0.00,0.00,90.30,40.00,4.00,-0.10,True,False,83.66,1040319.41,0,225232.41,815087.00,7.00,4.03,1000000,week +buy 50% ,58.70,71.94,74.19,DUK,3.69
2019-03-07,89.58,89.96,90.65,89.29,89.58,3531000,90.86,86.30,89.62,89.34,0.00,0.00,0.00,90.30,36.00,0.00,-0.11,True,False,83.66,1040410.43,0,225232.41,815178.02,7.00,4.04,1000000,week +buy 50% ,58.77,68.28,74.41,DUK,3.16
2019-03-08,90.20,89.91,90.23,89.30,90.20,2443800,90.94,86.25,89.75,89.37,0.00,0.00,0.00,90.30,32.00,0.00,-0.07,True,False,83.66,1046052.38,0,225232.41,820819.97,7.00,4.61,1000000,,63.12,74.28,74.14,DUK,3.03
2019-03-11,90.36,90.26,90.47,89.88,90.36,3720200,90.95,86.23,89.85,89.38,0.00,0.00,0.00,90.36,28.00,4.00,-0.04,True,False,83.66,1047508.42,0,225232.41,822276.01,7.00,4.75,1000000,,64.18,81.36,74.20,DUK,3.98
2019-03-12,90.51,90.47,90.87,90.11,90.51,4583700,91.01,86.17,90.04,89.40,0.00,0.00,0.00,90.51,100.00,0.00,-0.02,True,False,83.66,1048873.43,0,225232.41,823641.02,7.00,4.89,1000000,,65.18,88.64,75.44,DUK,4.22
2019-03-13,90.56,90.39,90.79,90.32,90.56,4510500,91.06,86.11,90.24,89.41,0.00,0.00,0.00,90.56,96.00,32.00,-0.01,True,False,83.66,1049328.39,0,225232.41,824095.98,7.00,4.93,1000000,,65.52,90.79,77.28,DUK,4.67
2019-03-14,90.36,90.47,91.08,90.12,90.36,3600300,91.15,86.04,90.40,89.45,0.00,0.00,0.00,90.56,100.00,28.00,-0.02,True,False,83.66,1047508.42,0,225232.41,822276.01,7.00,4.75,1000000,,62.83,88.29,78.82,DUK,4.65
2019-03-15,90.65,90.45,91.03,90.24,90.65,7614200,91.20,86.38,90.49,89.59,0.00,0.00,0.00,90.65,96.00,24.00,-0.02,True,False,83.66,1050147.43,0,225232.41,824915.02,7.00,5.01,1000000,,65.07,87.87,80.13,DUK,4.98
2019-03-18,90.06,90.86,90.91,89.73,90.06,3977000,91.02,87.12,90.43,89.72,0.00,0.00,0.00,90.65,92.00,20.00,-0.06,True,False,83.66,1044778.39,0,225232.41,819545.98,7.00,4.48,1000000,week +buy 50% ,57.49,81.70,80.61,DUK,5.22
