Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,63.44,61.76,64.01,61.50,63.44,7839400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.44,0.00,0.00,0.00,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,Monthly invest,0.00,0.00,0.00,GILD,0.00
2019-01-03,65.25,66.29,67.25,65.14,65.25,14631300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.25,0.00,0.00,0.18,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-04,68.25,66.25,68.43,66.04,68.25,9639500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.25,0.00,0.00,0.58,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-07,68.56,68.10,68.93,67.37,68.56,10504100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.83,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-08,68.09,68.85,69.15,67.09,68.09,7527400,0.00,0.00,66.72,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.89,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-09,67.94,68.20,68.66,67.54,67.94,5770000,0.00,0.00,67.62,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.85,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-10,68.04,67.74,68.27,67.09,68.04,5715900,0.00,0.00,68.18,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.79,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-11,68.16,67.80,68.40,67.44,68.16,5663100,0.00,0.00,68.16,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.71,False,False,63.44,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,GILD,0.00
2019-01-14,67.25,67.77,67.94,67.11,67.25,9172500,0.00,0.00,67.90,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.52,False,False,63.44,997814.38,0,560689.38,437125.00,5.00,-0.22,1000000,week +buy 50% ,0.00,0.00,0.00,GILD,-0.15
2019-01-15,68.52,67.19,68.71,67.03,68.52,7199500,0.00,0.00,67.98,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.49,False,False,63.44,1006069.36,0,560689.38,445379.98,5.00,0.61,1000000,,0.00,0.00,0.00,GILD,0.21
2019-01-16,67.64,68.27,68.87,67.55,67.64,6142300,0.00,0.00,67.92,0.00,0.00,0.00,0.00,68.56,0.00,0.00,0.34,False,False,63.44,1000349.37,0,560689.38,439659.99,5.00,0.03,1000000,,0.00,0.00,0.00,GILD,0.28
2019-01-17,68.65,67.54,68.96,67.46,68.65,5224500,0.00,0.00,68.04,0.00,0.00,0.00,0.00,68.65,0.00,0.00,0.31,False,False,63.44,1006914.39,0,560689.38,446225.01,5.00,0.69,1000000,,0.00,0.00,0.00,GILD,0.51
2019-01-18,69.18,69.24,69.58,68.51,69.18,8358800,0.00,0.00,68.25,0.00,0.00,0.00,0.00,69.18,0.00,0.00,0.31,False,False,63.44,1010359.38,0,560689.38,449670.00,5.00,1.04,1000000,,0.00,0.00,0.00,GILD,0.93
2019-01-22,68.55,68.74,68.82,68.02,68.55,9827000,0.00,0.00,68.51,0.00,0.00,0.00,0.00,69.18,0.00,0.00,0.22,False,False,63.44,1006264.39,0,560689.38,445575.02,5.00,0.63,1000000,,0.00,0.00,0.00,GILD,0.51
2019-01-23,68.25,68.52,69.51,67.82,68.25,6952600,0.00,0.00,68.45,0.00,0.00,0.00,0.00,69.18,0.00,0.00,0.11,False,False,63.44,1004314.38,0,560689.38,443625.00,5.00,0.43,1000000,,64.11,0.00,0.00,GILD,0.55
2019-01-24,67.86,68.43,68.46,67.52,67.86,7750900,0.00,0.00,68.50,0.00,0.00,0.00,0.00,69.18,0.00,0.00,-0.02,False,False,63.44,1001779.38,0,560689.38,441090.01,5.00,0.18,1000000,,60.36,0.00,0.00,GILD,0.58
2019-01-25,68.90,68.17,69.28,68.10,68.90,8809600,0.00,0.00,68.55,0.00,0.00,0.00,0.00,69.18,0.00,0.00,-0.02,False,False,63.44,1008539.39,0,560689.38,447850.01,5.00,0.85,1000000,,66.07,0.00,0.00,GILD,0.85
2019-01-28,67.91,68.42,69.00,67.36,67.91,7120000,0.00,0.00,68.29,0.00,0.00,0.00,0.00,69.18,0.00,0.00,-0.13,False,False,63.44,1000780.16,0,294516.11,706264.04,8.00,0.08,1000000,week +buy 50% ,57.57,0.00,0.00,GILD,0.45
2019-01-29,69.59,68.07,69.96,68.04,69.59,6989300,0.00,0.00,68.50,0.00,0.00,0.00,0.00,69.59,0.00,0.00,-0.05,False,False,63.44,1018252.07,0,294516.11,723735.96,8.00,1.83,1000000,,65.64,0.00,0.00,GILD,0.37
2019-01-30,69.83,69.42,70.30,68.60,69.83,5113400,70.77,62.43,68.82,67.99,0.00,0.00,0.00,69.83,0.00,0.00,0.01,True,False,63.44,1020748.14,0,294516.11,726232.02,8.00,2.07,1000000,,66.62,0.00,0.00,GILD,1.37
2019-01-31,70.01,69.81,70.32,69.08,70.01,8343700,70.31,64.34,69.25,68.32,0.00,0.00,0.00,70.01,0.00,0.00,0.05,True,False,63.44,1022620.14,0,294516.11,728104.02,8.00,2.26,1000000,,67.37,0.00,0.00,GILD,1.90
2019-02-01,70.05,70.00,70.50,69.36,70.05,6502100,70.12,65.44,69.48,68.56,0.00,0.00,0.00,70.05,0.00,0.00,0.06,True,False,63.44,1023036.15,0,294516.11,728520.03,8.00,2.30,1000000,Monthly invest,67.54,92.86,0.00,GILD,1.95
