Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,110.14,107.08,110.88,106.78,110.14,4434935,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.14,0.00,0.00,0.00,False,False,110.14,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,Monthly invest,0.00,0.00,0.00,IBM,0.00
2019-01-03,107.94,109.49,109.83,107.73,107.94,4546648,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.14,0.00,0.00,-0.13,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-04,112.16,109.86,112.32,109.41,112.16,4683779,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.16,0.00,0.00,0.04,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-07,112.95,112.33,113.60,111.54,112.95,3923755,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.95,0.00,0.00,0.19,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-08,114.56,114.40,115.27,113.75,114.56,4982726,0.00,0.00,111.55,0.00,0.00,0.00,0.00,114.56,0.00,0.00,0.37,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-09,115.38,115.59,116.06,114.60,115.38,3800850,0.00,0.00,112.60,0.00,0.00,0.00,0.00,115.38,0.00,0.00,0.51,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-10,116.43,114.80,116.50,114.67,116.43,4089860,0.00,0.00,114.30,0.00,0.00,0.00,0.00,116.43,0.00,0.00,0.62,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-11,116.12,116.23,116.27,114.91,116.12,3893630,0.00,0.00,115.09,0.00,0.00,0.00,0.00,116.43,0.00,0.00,0.64,False,False,107.94,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,IBM,0.00
2019-01-14,115.10,115.21,115.34,114.49,115.10,5469220,0.00,0.00,115.52,0.00,0.00,0.00,0.00,116.43,0.00,0.00,0.55,False,False,107.94,997755.64,0,548882.78,448872.86,3.00,-0.22,1000000,week +buy 50% ,0.00,0.00,0.00,IBM,-0.15
2019-01-15,116.38,115.64,116.57,115.51,116.38,3668845,0.00,0.00,115.88,0.00,0.00,0.00,0.00,116.43,0.00,0.00,0.53,False,False,107.94,1002751.80,0,548882.78,453869.02,3.00,0.28,1000000,,0.00,0.00,0.00,IBM,0.21
