Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,92.65,94.93,94.93,92.19,92.65,602100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.65,0.00,0.00,0.00,False,False,92.65,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,Monthly invest,0.00,0.00,0.00,MAA,0.00
2019-01-03,93.32,92.64,94.79,92.57,93.32,521500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.32,0.00,0.00,0.05,False,False,92.65,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,MAA,0.00
2019-01-04,93.33,93.82,94.69,93.26,93.33,587300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.33,0.00,0.00,0.07,False,False,92.65,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,MAA,0.00
2019-01-07,93.20,93.57,94.52,92.70,93.20,725600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.33,0.00,0.00,0.08,False,False,92.65,997576.80,0,512936.82,484639.98,4.00,-0.24,1000000,week +buy 50% ,0.00,0.00,0.00,MAA,0.00
2019-01-08,95.08,93.97,95.58,93.51,95.08,868200,0.00,0.00,93.52,0.00,0.00,0.00,0.00,95.08,0.00,0.00,0.20,False,False,92.65,1007352.83,0,512936.82,494416.01,4.00,0.74,1000000,,0.00,0.00,0.00,MAA,0.00
2019-01-09,94.99,95.47,95.47,94.07,94.99,573500,0.00,0.00,93.98,0.00,0.00,0.00,0.00,95.08,0.00,0.00,0.27,False,False,92.65,1006884.81,0,512936.82,493947.99,4.00,0.69,1000000,,0.00,0.00,0.00,MAA,0.00
2019-01-10,96.57,94.60,96.91,94.50,96.57,442000,0.00,0.00,94.63,0.00,0.00,0.00,0.00,96.57,0.00,0.00,0.40,False,False,92.65,1015100.82,0,512936.82,502164.00,4.00,1.51,1000000,,0.00,0.00,0.00,MAA,0.00
2019-01-11,97.19,96.34,97.30,96.10,97.19,603800,0.00,0.00,95.41,0.00,0.00,0.00,0.00,97.19,0.00,0.00,0.49,False,False,92.65,1018324.83,0,512936.82,505388.01,4.00,1.83,1000000,,0.00,0.00,0.00,MAA,0.00
2019-01-14,96.52,96.36,97.06,95.80,96.52,557800,0.00,0.00,96.07,0.00,0.00,0.00,0.00,97.19,0.00,0.00,0.48,False,False,92.65,1013586.04,0,260730.06,752855.98,6.00,1.36,1000000,week +buy 50% ,0.00,0.00,0.00,MAA,-0.15
2019-01-15,97.97,96.80,98.23,96.77,97.97,747700,0.00,0.00,96.65,0.00,0.00,0.00,0.00,97.97,0.00,0.00,0.54,False,False,92.65,1024896.07,0,260730.06,764166.01,6.00,2.49,1000000,,0.00,0.00,0.00,MAA,0.21
