Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,64.32,63.68,64.37,63.21,64.32,10094000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.32,0.00,0.00,0.00,False,False,64.32,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,Monthly invest,0.00,0.00,0.00,SBUX,0.00
2019-01-03,61.53,63.46,63.72,61.40,61.53,14390100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.28,False,False,61.53,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,0.00,0.00,0.00,SBUX,0.00
2019-01-04,63.57,62.40,64.25,62.08,63.57,12694400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.23,False,False,61.53,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,0.00,0.00,0.00,SBUX,0.00
2019-01-07,63.57,63.35,64.24,62.74,63.57,10337600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.19,False,False,61.53,31000000.00,0,15546133.00,15453867.00,187.00,0.00,31000000,week +buy 50% ,0.00,0.00,0.00,SBUX,0.00
2019-01-08,63.62,63.94,64.29,63.05,63.62,10809700,0.00,0.00,63.32,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.15,False,False,61.53,31012154.76,0,15546133.00,15466021.76,187.00,0.04,31000000,,0.00,0.00,0.00,SBUX,0.00
2019-01-09,63.88,63.65,64.04,62.95,63.88,13080300,0.00,0.00,63.23,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.09,False,False,61.53,31075361.24,0,15546133.00,15529228.24,187.00,0.24,31000000,,0.00,0.00,0.00,SBUX,0.00
2019-01-10,64.19,63.61,64.39,63.24,64.19,10397600,0.00,0.00,63.77,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.01,False,False,61.53,31150722.49,0,15546133.00,15604589.49,187.00,0.49,31000000,,0.00,0.00,0.00,SBUX,0.00
2019-01-11,63.73,62.29,63.84,61.67,63.73,13805700,0.00,0.00,63.80,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.01,False,False,61.53,31038896.00,0,15546133.00,15492763.00,187.00,0.13,31000000,,0.00,0.00,0.00,SBUX,0.00
2019-01-14,63.37,63.35,64.06,62.98,63.37,9929600,0.00,0.00,63.76,0.00,0.00,0.00,0.00,64.32,0.00,0.00,-0.04,False,False,61.53,30951379.76,0,7802319.12,23149060.63,281.00,-0.16,31000000,week +buy 50% ,0.00,0.00,0.00,SBUX,0.00
2019-01-15,64.08,63.58,64.63,63.45,64.08,7930400,0.00,0.00,63.85,0.00,0.00,0.00,0.00,64.32,0.00,0.00,0.02,False,False,61.53,31210743.85,0,7802319.12,23408424.73,281.00,0.68,31000000,,0.00,0.00,0.00,SBUX,0.58
