Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,44.66,44.23,45.04,44.14,44.66,5939100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.66,0.00,0.00,0.00,False,False,44.66,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,Monthly invest,0.00,0.00,0.00,TJX,0.00
2019-01-03,44.19,44.59,44.87,43.80,44.19,5887800,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.66,0.00,0.00,-0.07,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-04,45.40,44.81,45.70,44.74,45.40,6325000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.40,0.00,0.00,0.07,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-07,46.62,45.32,47.13,45.32,46.62,8441300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.62,0.00,0.00,0.32,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-08,47.31,46.80,47.44,46.02,47.31,10044300,0.00,0.00,45.64,0.00,0.00,0.00,0.00,47.31,0.00,0.00,0.56,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-09,47.27,47.45,47.76,46.96,47.27,8048300,0.00,0.00,46.16,0.00,0.00,0.00,0.00,47.31,0.00,0.00,0.67,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-10,47.09,46.25,47.13,45.66,47.09,7279500,0.00,0.00,46.74,0.00,0.00,0.00,0.00,47.31,0.00,0.00,0.67,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-11,47.46,46.98,47.74,46.89,47.46,5301200,0.00,0.00,47.15,0.00,0.00,0.00,0.00,47.46,0.00,0.00,0.68,False,False,44.19,1000000.00,0,1000000.00,0.00,0.00,0.00,1000000,,0.00,0.00,0.00,TJX,0.00
2019-01-14,46.78,47.18,47.77,46.43,46.78,7577200,0.00,0.00,47.18,0.00,0.00,0.00,0.00,47.46,0.00,0.00,0.55,False,False,44.19,997567.44,0,511055.45,486511.99,8.00,-0.24,1000000,week +buy 50% ,0.00,0.00,0.00,TJX,-0.15
2019-01-15,47.32,46.93,47.82,46.65,47.32,6105100,0.00,0.00,47.18,0.00,0.00,0.00,0.00,47.46,0.00,0.00,0.51,False,False,44.19,1003183.45,0,511055.45,492128.00,8.00,0.32,1000000,,0.00,0.00,0.00,TJX,0.21
2019-01-16,47.53,47.05,47.81,47.00,47.53,5984900,0.00,0.00,47.24,0.00,0.00,0.00,0.00,47.53,0.00,0.00,0.47,False,False,44.19,1005367.44,0,511055.45,494311.99,8.00,0.54,1000000,,0.00,0.00,0.00,TJX,0.28
2019-01-17,48.00,47.48,48.16,47.39,48.00,4114400,0.00,0.00,47.42,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.48,False,False,44.19,1010255.45,0,511055.45,499200.00,8.00,1.03,1000000,,0.00,0.00,0.00,TJX,0.51
2019-01-18,49.16,48.27,49.43,48.21,49.16,7061600,0.00,0.00,47.76,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.60,False,False,44.19,1022319.45,0,511055.45,511264.00,8.00,2.23,1000000,,0.00,0.00,0.00,TJX,0.93
2019-01-22,48.74,48.89,49.20,48.31,48.74,8387800,0.00,0.00,48.15,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.58,False,False,44.19,1017951.47,0,511055.45,506896.02,8.00,1.80,1000000,,0.00,0.00,0.00,TJX,0.51
2019-01-23,48.64,48.86,48.91,48.22,48.64,4649600,0.00,0.00,48.41,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.50,False,False,44.19,1016911.44,0,511055.45,505855.99,8.00,1.69,1000000,,74.02,0.00,0.00,TJX,0.55
2019-01-24,48.68,48.86,48.88,48.48,48.68,3776500,0.00,0.00,48.64,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.42,False,False,44.19,1017327.45,0,511055.45,506272.00,8.00,1.73,1000000,,74.26,0.00,0.00,TJX,0.58
2019-01-25,48.87,49.19,49.45,48.78,48.87,4996400,0.00,0.00,48.82,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.35,False,False,44.19,1019303.44,0,511055.45,508247.99,8.00,1.93,1000000,,75.40,0.00,0.00,TJX,0.85
2019-01-28,48.96,48.67,49.01,48.46,48.96,4803000,0.00,0.00,48.78,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.29,False,False,44.19,1019284.72,0,319156.73,700127.99,11.00,1.93,1000000,week +buy 50% ,75.94,0.00,0.00,TJX,0.45
2019-01-29,48.74,49.01,49.04,48.44,48.74,4362300,0.00,0.00,48.78,0.00,0.00,0.00,0.00,49.16,0.00,0.00,0.18,False,False,44.19,1016138.76,0,319156.73,696982.03,11.00,1.61,1000000,,71.77,0.00,0.00,TJX,0.37
2019-01-30,48.90,48.88,49.18,48.63,48.90,5408000,50.34,41.88,48.83,47.52,0.00,0.00,0.00,49.16,0.00,0.00,0.11,True,False,44.19,1018426.76,0,319156.73,699270.03,11.00,1.84,1000000,,72.93,0.00,0.00,TJX,1.37
