Date,rate_XOM_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,71.99
2019-03-01,8.54,4.45,4.09,76.14
2019-04-29,8.51,7.58,0.93,72.93
2019-06-25,4.18,7.2,-3.02,68.92
2019-08-21,-3.49,7.24,-10.73,61.09
2019-10-17,-5.33,8.87,-14.2,57.57
2019-12-13,-4.06,13.19,-17.25,54.47
2020-02-12,-13.37,18.03,-31.4,40.1
2020-04-09,-36.35,3.89,-40.24,31.12
2020-06-08,-21.26,14.68,-35.94,35.49
2020-08-04,-35.91,16.26,-52.17,19.0
2020-09-30,-47.79,17.41,-65.2,5.77
2020-11-25,-39.37,24.05,-63.42,7.58
2021-01-26,-32.79,29.15,-61.94,9.08
2021-03-24,-19.18,30.35,-49.53,21.68
2021-05-20,-15.93,36.67,-52.6,18.57
2021-07-19,-20.47,38.99,-59.46,11.6
2021-09-14,-21.47,43.6,-65.07,5.9
2021-11-09,-6.15,49.14,-55.29,15.83
2022-01-06,-3.61,49.24,-52.85,18.31
2022-03-07,20.83,37.68,-16.85,54.88
2022-05-03,22.23,36.93,-14.7,57.06
2022-06-30,18.91,27.61,-8.7,63.15
2022-08-26,34.81,34.27,0.54,72.54
2022-10-24,46.16,27.92,18.24,90.51
2022-12-20,46.28,28.33,17.95,90.22
2023-02-17,52.24,34.71,17.53,89.79
2023-04-18,59.6,36.36,23.24,95.59
2023-06-14,44.29,41.83,2.46,74.49
2023-08-11,52.96,43.86,9.1,81.23
2023-10-09,51.77,40.69,11.08,83.24
2023-12-05,38.15,46.52,-8.37,63.49
2024-02-02,40.14,55.53,-15.39,56.36
2024-04-02,62.64,61.42,1.22,73.23
2024-05-29,55.3,63.18,-7.88,63.99
2024-07-26,60.11,67.5,-7.39,64.48
